Google Ads Report may to August 2026
"May 1, 2026 - August 10, 2026"
Day,Campaign,Conversions,Currency code,Cost,Conv. value
2026-07-23,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,11.30,0.00
2026-07-23,Pesado 58.5 - Non Brand Search Categories - 2026,5.00,AUD,62.54,425.87
2026-07-24,Search - Brand - Pesado 58.5 - 2026,39.00,AUD,366.13,"3,361.36"
2026-07-24,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,214.09,0.00
2026-07-24,Pesado 58.5 - Non Brand Search Categories - 2026,13.00,AUD,70.31,"1,233.74"
2026-07-25,Search - Brand - Pesado 58.5 - 2026,44.33,AUD,367.90,"5,703.36"
2026-07-25,Pesado58.5 - Smart Shopping - All Catalog - 2026,2.00,AUD,358.62,537.90
2026-07-25,Pesado 58.5 - Non Brand Search Categories - 2026,8.00,AUD,96.03,"1,142.38"
2026-07-26,Search - Brand - Pesado 58.5 - 2026,36.50,AUD,301.33,"3,352.27"
2026-07-26,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,299.89,0.00
2026-07-26,Pesado 58.5 - Non Brand Search Categories - 2026,0.00,AUD,101.99,0.00
2026-07-27,Search - Brand - Pesado 58.5 - 2026,40.00,AUD,333.00,"3,986.29"
2026-07-27,Pesado58.5 - Smart Shopping - All Catalog - 2026,3.00,AUD,234.63,233.20
2026-07-27,Pesado 58.5 - Non Brand Search Categories - 2026,13.00,AUD,116.73,"1,019.74"
2026-07-28,Search - Brand - Pesado 58.5 - 2026,55.00,AUD,378.78,"6,334.93"
2026-07-28,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.55,AUD,386.58,59.69
2026-07-28,Pesado 58.5 - Non Brand Search Categories - 2026,5.00,AUD,106.23,623.93
2026-07-29,Search - Brand - Pesado 58.5 - 2026,32.00,AUD,345.00,"3,228.52"
2026-07-29,Pesado58.5 - Smart Shopping - All Catalog - 2026,2.00,AUD,410.46,537.88
2026-07-29,Pesado 58.5 - Non Brand Search Categories - 2026,4.13,AUD,168.11,320.05
2026-07-30,Search - Brand - Pesado 58.5 - 2026,44.38,AUD,315.66,"5,051.11"
