Sales Enquiry as of 31/10/2025,,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total,Customer Type
30/10/2025,CA3070TM2,C Accessories - Tamping Corner Mat Large,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,5,75.00,AUS Wholesale
30/10/2025,HC7125WH,C Accessories 1lt Jug White,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,3,49.91,AUS Wholesale
30/10/2025,HC7125VL,C Accessories 1lt Jug Violet,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,2,33.28,AUS Wholesale
30/10/2025,HC7125ST,C Accessories 1lt Jug Stainless Steel,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,6,62.17,AUS Wholesale
30/10/2025,HC7125BK,C Accessories 1lt Jug Black,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,6,99.83,AUS Wholesale
30/10/2025,HC7124TB,C Accessories 600ml Jug Teal Blue,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,2,25.63,AUS Wholesale
30/10/2025,HC7124PK,C Accessories 600ml Jug Pink,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,4,51.26,AUS Wholesale
30/10/2025,HC7124BK,C Accessories 600ml Jug Black,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,6,76.90,AUS Wholesale
30/10/2025,HC7123WH,C Accessories 300ml Jug White,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,3,31.09,AUS Wholesale
30/10/2025,HC7123ST,C Accessories 300ml Jug Stainless Steel,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,6,40.90,AUS Wholesale
30/10/2025,HC7123BK,C Accessories 300ml Jug Black,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,3,31.09,AUS Wholesale
30/10/2025,AB3070MJ600TBK,Artisan Barista 600ml Jug Metallic Black,Commercial Kitchen Company,The Artisan Barista,Main Warehouse,Completed,3,106.36,AUS Wholesale
30/10/2025,AB3070MJ350TBK,Artisan Barista 350ml Jug Metallic Black,Commercial Kitchen Company,The Artisan Barista,Main Warehouse,Completed,3,98.17,AUS Wholesale
29/10/2025,,B2B flat fee,Barefoot Coffee Roasters,,Main Warehouse,Placed,1,18.18,AUS Wholesale
29/10/2025,HK0537BK,Tiamo CT2000 digital scale with timer - Black,Barefoot Coffee Roasters,Tiamo,Main Warehouse,Placed,1,84.00,AUS Wholesale
29/10/2025,BC0092,Tap for HG2669,Barefoot Coffee Roasters,Tiamo Cold Drip,Main Warehouse,Placed,1,52.50,AUS Wholesale
29/10/2025,HG2669,HG2669 Cold Drip,Barefoot Coffee Roasters,Tiamo Cold Drip,Main Warehouse,Placed,1,571.29,AUS Wholesale
29/10/2025,HG6395,Cold Drip Ground Holder 2669,Barefoot Coffee Roasters,Tiamo Cold Drip,Main Warehouse,Placed,1,68.18,AUS Wholesale
29/10/2025,Courier Fee,Courier Fee,Roasting Warehouse Specialty Coffee,,Main Warehouse,Completed,1,15.22,AUS Wholesale
29/10/2025,HG2713BK,HG2713 Cold Drip Black,Roasting Warehouse Specialty Coffee,Tiamo Cold Drip,Main Warehouse,Completed,1,178.12,AUS Wholesale
29/10/2025,CA3070KT,C Accessories Commercial Knock Tube,The Cart Co.,Coffee Accessories,Main Warehouse,Completed,1,40.00,AUS Wholesale
29/10/2025,CaffettoRESTORE,Cafetto Renew Descaler - 25g sachet x 6 pack,The Cart Co.,Cafetto,Main Warehouse,Completed,1,12.05,AUS Wholesale
