Sales Enquiry as of 19/08/2025,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total
18/08/2025,PSD-puck,Pesado Puck Diffuser Screen 58mm,Coffee Machine Specialist,PESADO,Main Warehouse,Completed,10,175.00
18/08/2025,,B2B flat fee,JDE B2B TM,,Main Warehouse,Parked,1,18.18
18/08/2025,RWBaristaCloth,Barista Cloth Set - 4 Pack,JDE B2B TM,Rhinoware,Main Warehouse,Parked,1,13.00
18/08/2025,Courier Fee,Courier Fee,Danes Coffee,,Main Warehouse,Completed,1,24.67
18/08/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,Danes Coffee,PESADO,Main Warehouse,Completed,15,"1,050.00"
18/08/2025,PFHNS,Pesado Double Spouted Portafilter  Head Only NS,R&D Espresso Lab,PESADO,China-W,Parked,6,240.00
18/08/2025,AB3070JRL,Artisan Barista - Black Jug Rinser Large,R&D Espresso Lab,The Artisan Barista,China-W,Parked,3,320.00
18/08/2025,Courier Fee,Courier Fee,PROKURE Aus PTY LTD - Alternative Brewing,,Main Warehouse,Completed,1,7.98
18/08/2025,Misc. Product,Misc. Product,PROKURE Aus PTY LTD - Alternative Brewing,Accessories,Main Warehouse,Completed,1,15.00
18/08/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Completed,1,0.00
18/08/2025,PSD-beantube,Single Dose Bean Cellar - 4pcs,Jetblack Espresso,PESADO,Main Warehouse,Parked,1,25.45
18/08/2025,PSD-Beanstand,Magnetic Bean Stand,Jetblack Espresso,PESADO,Main Warehouse,Parked,2,105.00
18/08/2025,AB3070-ClickTamper,Artisan Barista - Lotus Click Tamper 58.3mm,Jetblack Espresso,The Artisan Barista,Main Warehouse,Parked,10,566.30
18/08/2025,HG6329,Domestic Cold Drip Unit,Jetblack Espresso,Tiamo Cold Drip,Main Warehouse,Parked,2,192.43
18/08/2025,V2-PSDcrusher-Stand,Pesado V2 Clump Crusher Stand (WDT tool),Jetblack Espresso,PESADO,Main Warehouse,Parked,10,182.00
18/08/2025,PSDcrusher-Stand,Pesado Clump Crusher Stand (WDT tool),Jetblack Espresso,PESADO,Main Warehouse,Parked,10,182.00
18/08/2025,PSDcrusherIRIS,Pesado Clump Crusher - Iris,Jetblack Espresso,PESADO,Main Warehouse,Parked,3,84.00
18/08/2025,PSDcrusherRIGA,Pesado Clump Crusher - Riga,Jetblack Espresso,PESADO,Main Warehouse,Parked,10,280.00
18/08/2025,PSDcrusherRAYA,Pesado Clump Crusher - Raya,Jetblack Espresso,PESADO,Main Warehouse,Parked,4,112.00
18/08/2025,BC2400,Tamper Corner Mat,Jetblack Espresso,Tiamo,Main Warehouse,Parked,20,280.00
18/08/2025,CA3070KT,C Accessories Commercial Knock Tube,Jetblack Espresso,Coffee Accessories,Main Warehouse,Parked,5,227.25
18/08/2025,Courier Fee,Courier Fee,Drip Coffee GmbH,,Main Warehouse,Parked,1,93.33
18/08/2025,V2-PSDdosingCup-WH,Pesado 58mm Dosing Cup - White Ripple edition,Drip Coffee GmbH,PESADO,Main Warehouse,Parked,2,32.00
18/08/2025,PSDdosingCup-BK,Pesado 58mm Dosing Cup - Black Ripple edition,Drip Coffee GmbH,PESADO,Main Warehouse,Parked,2,32.00
18/08/2025,PSD-puck,Pesado Puck Diffuser Screen 58mm,Drip Coffee GmbH,PESADO,Main Warehouse,Parked,12,160.00
18/08/2025,V2-PSDcrusher-Stand,Pesado V2 Clump Crusher Stand (WDT tool),Drip Coffee GmbH,PESADO,Main Warehouse,Parked,3,48.00
18/08/2025,V2-PSD-distributor,Pesado Impact-Gravity Distributor 58.5mm,Drip Coffee GmbH,PESADO,Main Warehouse,Parked,2,242.67
18/08/2025,PSD-removablepins,4 pack of removable pins for WDT Clump Crusher,Drip Coffee GmbH,PESADO,Main Warehouse,Parked,12,16.00
18/08/2025,Courier Fee,Courier Fee,Campos Coffee,,Main Warehouse,Completed,1,24.67
18/08/2025,Tamp-M-BK,Tamp Master - Automatic Tamping Machine - Black,Campos Coffee,,Main Warehouse,Completed,1,"1,200.00"
15/08/2025,Courier Fee,Courier Fee,Coffee Machine Warehouse Australia,,Main Warehouse,Completed,1,24.67
15/08/2025,Tamp-M-BK,Tamp Master - Automatic Tamping Machine - Black,Coffee Machine Warehouse Australia,,Main Warehouse,Completed,1,"1,200.00"
15/08/2025,Courier Fee,Courier Fee,Coffee Machine Warehouse Australia,,Main Warehouse,Completed,1,7.98
15/08/2025,AB3070MJ350RAINBOW,Artisan Barista 350ml Jug Metallic Rainbow,Coffee Machine Warehouse Australia,The Artisan Barista,Main Warehouse,Completed,1,35.45
15/08/2025,Misc. Product,Misc. Product,Dolo-OnlineSale,Accessories,Main Warehouse,Completed,1,0.00
15/08/2025,V2-PSDring-58mm,Pesado Magnetic 58mm Dosing Ring,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Completed,6,133.60
15/08/2025,PSD-puck,Pesado Puck Diffuser Screen 58mm,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Completed,12,210.00
15/08/2025,Courier Fee,Courier Fee,Coffee Machine Warehouse Australia,,Main Warehouse,Completed,1,35.94
15/08/2025,CA3070-grinderbrush,C Accessories - Bench & Grinder brush,Coffee Machine Warehouse Australia,Coffee Accessories,Main Warehouse,Completed,15,146.79
15/08/2025,CA3070-Thermometer,C Accessories Analog thermometer,Coffee Machine Warehouse Australia,Coffee Accessories,Main Warehouse,Completed,30,261.00
15/08/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,Coffee Machine Warehouse Australia,The Artisan Barista,Main Warehouse,Completed,25,"1,135.88"
15/08/2025,HC7125ST,C Accessories 1lt Jug Stainless Steel,Coffee Machine Warehouse Australia,Coffee Accessories,Main Warehouse,Completed,20,207.24
15/08/2025,HC7123ST,C Accessories 300ml Jug Stainless Steel,Coffee Machine Warehouse Australia,Coffee Accessories,Main Warehouse,Completed,30,204.48
15/08/2025,HC7124ST,C Accessories 600ml Jug Stainless Steel,Coffee Machine Warehouse Australia,Coffee Accessories,Main Warehouse,Completed,40,305.52
15/08/2025,Courier Fee,Courier Fee,Dipacci Coffee Company Pty Ltd,,Main Warehouse,Completed,1,15.12
15/08/2025,PSDdosingCup-BK,Pesado 58mm Dosing Cup - Black Ripple edition,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Completed,12,267.29
15/08/2025,PSDcrusherRAYA,Pesado Clump Crusher - Raya,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Completed,3,84.00
15/08/2025,PSDcrusher-Gold,Pesado Clump Crusher - Gold,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Completed,3,84.00
15/08/2025,PSDcrusherIRIS,Pesado Clump Crusher - Iris,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Completed,3,84.00
15/08/2025,PSDcrusher-Bronze,Pesado Clump Crusher - Bronze,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Completed,3,84.00
15/08/2025,PSDcrusher-Silver,Pesado Clump Crusher - Silver,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Completed,3,84.00
15/08/2025,Courier Fee,Courier Fee,Coffee Tech,,Main Warehouse,Completed,1,12.50
15/08/2025,PSD23.5,Pesado Basket - 23.5 (17g),Coffee Tech,PESADO,Main Warehouse,Completed,2,40.91
15/08/2025,PF02LM-WBK,Pesado Double Spouted Portafilter LM 6mm - White/Black,Coffee Tech,PESADO,Main Warehouse,Completed,1,102.27
15/08/2025,IMSSHE61,IMS Competition Shower Screen E61,Coffee Tech,IMS,Main Warehouse,Completed,2,40.91
15/08/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,Drip Coffee GmbH,PESADO,Main Warehouse,Parked,1,13.33
