Sales Enquiry as of 31/10/2025,,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total,Customer Type
30/10/2025,,B2B Pickup/Dropship,Coffee Nerd,,Main Warehouse,Backordered,1,10.00,AUS Wholesale
30/10/2025,PSD-HD-GA,High Diffusion shower screen for (Gaggia Classic / Classic Pro),Coffee Nerd,PESADO,Main Warehouse,Backordered,5,240.00,AUS Wholesale
30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),Coffee Nerd,PESADO,Main Warehouse,Backordered,6,245.45,AUS Wholesale
30/10/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",Coffee Nerd,PESADO,Main Warehouse,Backordered,6,288.00,AUS Wholesale
30/10/2025,HC7123ST,C Accessories 300ml Jug Stainless Steel,Coffee Nerd,Coffee Accessories,Main Warehouse,Backordered,1,6.82,AUS Wholesale
30/10/2025,SCDigital,Precision Digital Scale,Coffee Nerd,Accessories,Main Warehouse,Backordered,5,119.33,AUS Wholesale
30/10/2025,HC7123BK,C Accessories 300ml Jug Black,Coffee Nerd,Coffee Accessories,Main Warehouse,Backordered,3,31.09,AUS Wholesale
30/10/2025,PF02NSBK-Riga,Pesado Double Spouted Portafilter NS - Black/Riga,Unknown Coffee,PESADO,Main Warehouse,Completed,3,283.63,AUS Wholesale
30/10/2025,350KPA,350 Kpa pressure limiting valve,Dolo-OnlineSale,BWT,Main Warehouse,Parked,1,54.54,Web
30/10/2025,MGHBKC3,BWT MaxiPro Head & Bracket Kit  (Grey),Dolo-OnlineSale,BWT,Main Warehouse,Parked,1,35.91,Web
30/10/2025,QC3533P,"BWT MaxiPro Ctg 10"" CTO Scale/Molded Block MKII",Dolo-OnlineSale,BWT,Main Warehouse,Parked,1,53.90,Web
30/10/2025,CA3070KT,C Accessories Commercial Knock Tube,Dolo-OnlineSale,Coffee Accessories,Main Warehouse,Parked,1,44.54,Web
