Purchase Enquiry as of 11/12/2025,,,,,,,,,,,,
Order No.,Order Date,Delivery Date,Receipt Date,Warehouse,Supplier,Product Code,Product Description,Product Group,Sales Order Number,Order Status,Base Unit Qty,Landed Cost (AUD)
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),HC7124ST,C Accessories 600ml Jug Stainless Steel,Coffee Accessories,,PRODUCTION,"1,000","4,650.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PSD-PuckHolder,Pesado Double Puck Screen Holder,PESADO,,PRODUCTION,300,"3,394.50"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PSD-puck-54,Pesado Puck Diffuser Screen 54mm,PESADO,,PRODUCTION,500,"1,550.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PSD-puck,Pesado Puck Diffuser Screen 58mm,PESADO,,PRODUCTION,500,"1,550.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),V2-PSDleva-black,Pesado Leva knob - Black V2,PESADO,,PRODUCTION,100,992.00
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),V2-PSDring-54mm,Pesado Magnetic 54mm Dosing Ring,PESADO,,PRODUCTION,200,"1,488.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,,PRODUCTION,400,"2,728.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,,PRODUCTION,500,"1,550.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),EP-20g,EP-20g Pesado Basket -electro polished basket,PESADO,,PRODUCTION,500,"2,325.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),EP-BR-18g,EP-BR-18g Pesado Basket - electro polished basket,PESADO,,PRODUCTION,300,"1,371.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),EP-BR-20g,EP-BR-20g Pesado Basket - electro polished basket,PESADO,,PRODUCTION,500,"2,325.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PSD-HE-54,Pesado He[%] Basket - Breville 54mm,PESADO,,PRODUCTION,400,"4,892.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,,PRODUCTION,400,"7,056.00"
