Production Enquiry as of 31/10/2025,,,,,,,,,
Assembly Number,Assembly Date,Assemble By,Product Code,Product Description,Product Group,Warehouse,Quantity,Total Cost,Assembly Status
ASM-00031346,,05/10/2025,PF02BR54BK-Riga-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Black/Riga,PESADO,Main Warehouse,1,37.40,Parked
ASM-00031345,10/10/2025,05/10/2025,V2-PSDleva-black,Pesado Leva knob - Black V2,PESADO,Main Warehouse,-1,-7.17,Completed
ASM-00031345,10/10/2025,05/10/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-2.68,Completed
ASM-00031345,10/10/2025,05/10/2025,PSDcrusher-Black,Pesado Clump Crusher - Black,PESADO,Main Warehouse,1,9.85,Completed
ASM-00031344,10/10/2025,05/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031344,10/10/2025,05/10/2025,PFMOD2-Riga,Pesado Portafilter Multi Handle Module 2 - Riga,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00031344,10/10/2025,05/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031344,10/10/2025,05/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031344,10/10/2025,05/10/2025,PF00BR54BK-Riga-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Black/Riga,PESADO,Main Warehouse,1,27.94,Completed
ASM-00031343,10/10/2025,05/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031343,10/10/2025,05/10/2025,PFMOD2-Bronze,Pesado Portafilter Multi  Handle Module 2 - Bronze,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00031343,10/10/2025,05/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031343,10/10/2025,05/10/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-18.51,Completed
ASM-00031343,10/10/2025,05/10/2025,PF00MV-BBZ-HY,Pesado HYBRID Naked Portafilter 5mm E61 - Black/Bronze,PESADO,Main Warehouse,1,31.92,Completed
ASM-00031342,10/10/2025,05/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031342,10/10/2025,05/10/2025,PFMOD2-Gold,Pesado Portafilter Multi  Handle Module 2 - Gold,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00031342,10/10/2025,05/10/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031342,10/10/2025,05/10/2025,PFH00LM-HY,Pesado HYBRID Naked Portafilter Head Only LM 6mm,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00031342,10/10/2025,05/10/2025,PF00LM-WGD-HY,Pesado HYBRID Naked Portafilter LM 6mm - White/Gold,PESADO,Main Warehouse,1,31.05,Completed
ASM-00031340,10/10/2025,05/10/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-2.68,Completed
ASM-00031340,10/10/2025,05/10/2025,PSDleva-Riga,Pesado Leva knob - Riga,PESADO,Main Warehouse,-1,-6.49,Completed
ASM-00031340,10/10/2025,05/10/2025,PSDcrusherRIGA,Pesado Clump Crusher - Riga,PESADO,Main Warehouse,1,9.17,Completed
ASM-00031339,,05/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Parked
ASM-00031339,,05/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
ASM-00031339,,05/10/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-7.34,Parked
ASM-00031339,,05/10/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Parked
ASM-00031339,,05/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Parked
ASM-00031339,,05/10/2025,PF02BR54-WSL-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - White/Silver,PESADO,Main Warehouse,1,37.76,Parked
ASM-00031338,,05/10/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-2.68,Parked
ASM-00031338,,05/10/2025,PSDleva-silver,Pesado Leva knob - Silver,PESADO,Main Warehouse,-1,-6.14,Parked
ASM-00031338,,05/10/2025,PSDcrusher-Silver,Pesado Clump Crusher - Silver,PESADO,Main Warehouse,1,8.82,Parked
ASM-00031336,10/10/2025,04/10/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-4.86,Completed
ASM-00031336,10/10/2025,04/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031336,10/10/2025,04/10/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.50,Completed
ASM-00031336,10/10/2025,04/10/2025,PF00BR58-FullPOM-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Full POM,PESADO,Main Warehouse,1,22.75,Completed
ASM-00031335,10/10/2025,04/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Completed
ASM-00031335,10/10/2025,04/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031335,10/10/2025,04/10/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-7.42,Completed
ASM-00031335,10/10/2025,04/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031335,10/10/2025,04/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031335,10/10/2025,04/10/2025,PF02BR54-BSL-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Black/Silver,PESADO,Main Warehouse,1,37.84,Completed
ASM-00031334,10/10/2025,04/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031334,10/10/2025,04/10/2025,PFMOD2-Bronze,Pesado Portafilter Multi  Handle Module 2 - Bronze,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00031334,10/10/2025,04/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031334,10/10/2025,04/10/2025,PFHBR58,Pesado Double Spouted Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-16.57,Completed
ASM-00031334,10/10/2025,04/10/2025,PF02BR58-BBZ,Pesado Double Spouted Portafilter Breville 58mm - Black/Bronze,PESADO,Main Warehouse,1,29.98,Completed
ASM-00031333,10/10/2025,04/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Completed
ASM-00031333,10/10/2025,04/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031333,10/10/2025,04/10/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-7.42,Completed
ASM-00031333,10/10/2025,04/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031333,10/10/2025,04/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031333,10/10/2025,04/10/2025,PF02BR54-BSL-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Black/Silver,PESADO,Main Warehouse,1,37.84,Completed
ASM-00031332,10/10/2025,04/10/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-4.86,Completed
ASM-00031332,10/10/2025,04/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031332,10/10/2025,04/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031332,10/10/2025,04/10/2025,PF00BR54-FullPOM-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Full POM,PESADO,Main Warehouse,1,22.72,Completed
ASM-00031331,10/10/2025,04/10/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-2.68,Completed
ASM-00031331,10/10/2025,04/10/2025,PSDleva-silver,Pesado Leva knob - Silver,PESADO,Main Warehouse,-1,-6.14,Completed
ASM-00031331,10/10/2025,04/10/2025,PSDcrusher-Silver,Pesado Clump Crusher - Silver,PESADO,Main Warehouse,1,8.82,Completed
ASM-00031330,10/10/2025,04/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Completed
ASM-00031330,10/10/2025,04/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031330,10/10/2025,04/10/2025,PFMOD2-Iris,Pesado Portafilter Multi Handle Module 2 - Iris,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00031330,10/10/2025,04/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031330,10/10/2025,04/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031330,10/10/2025,04/10/2025,PF02BR54BK-Iris-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Black/Iris,PESADO,Main Warehouse,1,37.40,Completed
ASM-00031328,,04/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Parked
ASM-00031328,,04/10/2025,PSD-HE-54,Pesado He[%] Basket - Breville 54mm,PESADO,Main Warehouse,-1,-5.30,Parked
ASM-00031328,,04/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
ASM-00031328,,04/10/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-7.34,Parked
ASM-00031328,,04/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Parked
ASM-00031328,,04/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Parked
ASM-00031328,,04/10/2025,PRE-BR54-SET,Breville 54mm Hybrid Precision Set,PESADO,Main Warehouse,1,43.06,Parked
ASM-00031327,10/10/2025,04/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.74,Completed
ASM-00031327,10/10/2025,04/10/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO,Main Warehouse,-1,-13.26,Completed
ASM-00031327,10/10/2025,04/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031327,10/10/2025,04/10/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-7.42,Completed
ASM-00031327,10/10/2025,04/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031327,10/10/2025,04/10/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.50,Completed
ASM-00031327,10/10/2025,04/10/2025,PRE-BR58-SET,Breville 58mm Hybrid Precision Set,PESADO,Main Warehouse,1,51.41,Completed
ASM-00031326,10/10/2025,04/10/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-4.86,Completed
ASM-00031326,10/10/2025,04/10/2025,PSD02Spout,Pesado Spout - Double,PESADO,Main Warehouse,-1,-5.77,Completed
ASM-00031326,10/10/2025,04/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031326,10/10/2025,04/10/2025,PFHBR54,Pesado Double Spouted Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-16.57,Completed
ASM-00031326,10/10/2025,04/10/2025,PF02BR54-FullPOM,Pesado Double Spouted Portafilter Breville 54mm - Full POM,PESADO,Main Warehouse,1,27.59,Completed
ASM-00031325,10/10/2025,04/10/2025,PSD-beantube,Single Dose Bean Cellar - 4pcs,PESADO,Main Warehouse,-1,-11.73,Completed
ASM-00031325,10/10/2025,04/10/2025,PSD-Beanstand,Magnetic Bean Stand,PESADO,Main Warehouse,-1,-15.50,Completed
ASM-00031325,10/10/2025,04/10/2025,PSD-Beanstand-combo,Magnetic Bean Stand With Single Dose Bean Cellar - 4pcs,PESADO,Main Warehouse,1,27.23,Completed
ASM-00031322,10/10/2025,03/10/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-2.68,Completed
ASM-00031322,10/10/2025,03/10/2025,PSDleva-Riga,Pesado Leva knob - Riga,PESADO,Main Warehouse,-1,-6.49,Completed
ASM-00031322,10/10/2025,03/10/2025,PSDcrusherRIGA,Pesado Clump Crusher - Riga,PESADO,Main Warehouse,1,9.17,Completed
ASM-00031321,08/10/2025,03/10/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-8,-38.88,Completed
ASM-00031321,08/10/2025,03/10/2025,PSD02Spout,Pesado Spout - Double,PESADO,Main Warehouse,-8,-46.18,Completed
ASM-00031321,08/10/2025,03/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-8,-3.12,Completed
ASM-00031321,08/10/2025,03/10/2025,PFHLM,Pesado Double Spouted Portafilter  Head Only LM 6mm,PESADO,Main Warehouse,-8,-138.91,Completed
ASM-00031321,08/10/2025,03/10/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,PESADO,Main Warehouse,8,227.09,Completed
ASM-00031320,10/10/2025,03/10/2025,WH-PSDHFullPOM,Pesado White Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-5.00,Completed
ASM-00031320,10/10/2025,03/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Completed
ASM-00031320,10/10/2025,03/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031320,10/10/2025,03/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031320,10/10/2025,03/10/2025,PF02BR54-WHPOM-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - White Full POM,PESADO,Main Warehouse,1,32.32,Completed
ASM-00031319,10/10/2025,03/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Completed
ASM-00031319,10/10/2025,03/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031319,10/10/2025,03/10/2025,PFMOD2-Bronze,Pesado Portafilter Multi  Handle Module 2 - Bronze,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00031319,10/10/2025,03/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031319,10/10/2025,03/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031319,10/10/2025,03/10/2025,PF02BR54-BBZ-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Black/Bronze,PESADO,Main Warehouse,1,40.34,Completed
ASM-00031318,10/10/2025,03/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.74,Completed
ASM-00031318,10/10/2025,03/10/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO,Main Warehouse,-1,-13.26,Completed
ASM-00031318,10/10/2025,03/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031318,10/10/2025,03/10/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-7.42,Completed
ASM-00031318,10/10/2025,03/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031318,10/10/2025,03/10/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.50,Completed
ASM-00031318,10/10/2025,03/10/2025,PRE-BR58-SET,Breville 58mm Hybrid Precision Set,PESADO,Main Warehouse,1,51.41,Completed
ASM-00031317,10/10/2025,03/10/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-2.68,Completed
ASM-00031317,10/10/2025,03/10/2025,PSDleva-Riga,Pesado Leva knob - Riga,PESADO,Main Warehouse,-1,-6.49,Completed
ASM-00031317,10/10/2025,03/10/2025,PSDcrusherRIGA,Pesado Clump Crusher - Riga,PESADO,Main Warehouse,1,9.17,Completed
ASM-00031316,10/10/2025,03/10/2025,PSDTbase-Convex,Pesado Full Moon Wave Base Tamper - Metallic Black / Convex Base,PESADO,Main Warehouse,-1,-12.32,Completed
ASM-00031316,10/10/2025,03/10/2025,PSDTMOD2-Bronze,Pesado Tamper Multi Handle Module 2 - Bronze,PESADO,Main Warehouse,-1,-8.99,Completed
ASM-00031316,10/10/2025,03/10/2025,PSDTMOD1-White,Pesado Tamper Multi Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.26,Completed
ASM-00031316,10/10/2025,03/10/2025,PSDT-WAVE-WBZ,Pesado Tamper - Full Moon Wave White/Bronze,PESADO,Main Warehouse,1,24.57,Completed
ASM-00031315,02/10/2025,02/10/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-5,-25.62,Completed
ASM-00031315,02/10/2025,02/10/2025,PSD02Spout,Pesado Spout - Double,PESADO,Main Warehouse,-5,-28.90,Completed
ASM-00031315,02/10/2025,02/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-5,-1.96,Completed
ASM-00031315,02/10/2025,02/10/2025,PFHLM,Pesado Double Spouted Portafilter  Head Only LM 6mm,PESADO,Main Warehouse,-5,-95.33,Completed
ASM-00031315,02/10/2025,02/10/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,PESADO,Main Warehouse,5,151.81,Completed
ASM-00031314,10/10/2025,02/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Completed
ASM-00031314,10/10/2025,02/10/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-4.86,Completed
ASM-00031314,10/10/2025,02/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031314,10/10/2025,02/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031314,10/10/2025,02/10/2025,PF02BR54-FullPOM-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Full POM,PESADO,Main Warehouse,1,32.18,Completed
ASM-00031313,10/10/2025,02/10/2025,V2-PSD-distributor,Pesado Impact-Gravity Distributor 58.5mm,PESADO,Main Warehouse,-1,-56.73,Completed
ASM-00031313,10/10/2025,02/10/2025,V2-PSDcrusher-Stand,Pesado V2 Clump Crusher Stand (WDT tool),PESADO,Main Warehouse,-1,-7.23,Completed
ASM-00031313,10/10/2025,02/10/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-2.68,Completed
ASM-00031313,10/10/2025,02/10/2025,PSDleva-silver,Pesado Leva knob - Silver,PESADO,Main Warehouse,-1,-6.14,Completed
ASM-00031313,10/10/2025,02/10/2025,DISTR_B,Distribution Bundle,PESADO,Main Warehouse,1,72.78,Completed
ASM-00031311,10/10/2025,02/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031311,10/10/2025,02/10/2025,PFMOD2-Riga,Pesado Portafilter Multi Handle Module 2 - Riga,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00031311,10/10/2025,02/10/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031311,10/10/2025,02/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031311,10/10/2025,02/10/2025,PF00BR54WH-Riga-HY,Pesado HYBRID Naked Portafilter Breville 54mm - White/Riga,PESADO,Main Warehouse,1,27.94,Completed
ASM-00031310,02/10/2025,01/10/2025,PSDTMOD2-Riga,Pesado Tamper Multi Handle Module 2 - Riga,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00031310,02/10/2025,01/10/2025,PSDTMOD1-Black,Pesado Tamper Multi Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.26,Completed
ASM-00031310,02/10/2025,01/10/2025,PSDTbase-Convex,Pesado Full Moon Wave Base Tamper - Metallic Black / Convex Base,PESADO,Main Warehouse,-1,-12.32,Completed
ASM-00031310,02/10/2025,01/10/2025,PSDT-WAVE-BKRiga,Pesado Tamper - Full Moon Wave Black/Riga,PESADO,Main Warehouse,1,22.56,Completed
ASM-00031309,02/10/2025,01/10/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-2.82,Completed
ASM-00031309,02/10/2025,01/10/2025,PSDleva-Riga,Pesado Leva knob - Riga,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00031309,02/10/2025,01/10/2025,PSDcrusherRIGA,Pesado Clump Crusher - Riga,PESADO,Main Warehouse,1,9.80,Completed
ASM-00031308,10/10/2025,01/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031308,10/10/2025,01/10/2025,PFMOD2-Iris,Pesado Portafilter Multi Handle Module 2 - Iris,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00031308,10/10/2025,01/10/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031308,10/10/2025,01/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Completed
ASM-00031308,10/10/2025,01/10/2025,PF00BR54WH-Iris-HY,Pesado HYBRID Naked Portafilter Breville 54mm - White/Iris,PESADO,Main Warehouse,1,27.94,Completed
ASM-00031307,10/10/2025,01/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.74,Completed
ASM-00031307,10/10/2025,01/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031307,10/10/2025,01/10/2025,PFMOD2-Iris,Pesado Portafilter Multi Handle Module 2 - Iris,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00031307,10/10/2025,01/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031307,10/10/2025,01/10/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.50,Completed
ASM-00031307,10/10/2025,01/10/2025,PF02BR58BK-Iris-HY,Pesado HYBRID Double Spouted Portafilter Breville 58mm - Black/Iris,PESADO,Main Warehouse,1,37.71,Completed
ASM-00031306,10/10/2025,01/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.74,Completed
ASM-00031306,10/10/2025,01/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
ASM-00031306,10/10/2025,01/10/2025,PFMOD2-Iris,Pesado Portafilter Multi Handle Module 2 - Iris,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00031306,10/10/2025,01/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00031306,10/10/2025,01/10/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.50,Completed
ASM-00031306,10/10/2025,01/10/2025,PF02BR58BK-Iris-HY,Pesado HYBRID Double Spouted Portafilter Breville 58mm - Black/Iris,PESADO,Main Warehouse,1,37.71,Completed
ASM-00031305,02/10/2025,01/10/2025,PSDTHRaya,Pesado Tamper Handle Only - Raya,PESADO,Main Warehouse,-2,-15.50,Completed
ASM-00031305,02/10/2025,01/10/2025,PSDTBase,Pesado Tamper Base Only 58mm,PESADO,Main Warehouse,-2,-17.67,Completed
ASM-00031305,02/10/2025,01/10/2025,PSDTWRaya,Pesado Tamper - Raya,PESADO,Main Warehouse,2,33.17,Completed
ASM-00031304,10/10/2025,01/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.74,Completed
ASM-00031304,10/10/2025,01/10/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO,Main Warehouse,-1,-13.26,Completed
ASM-00031304,10/10/2025,01/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Completed
